MCS	AvgNutrientConcentration	AvgUptake
0	9.989999671173095	0.0009989999771118157
100	9.038879893859864	0.0009035695533752443
200	8.178313523132324	0.0008174846801757812
300	7.3996758518791195	0.0007396308403015136
400	6.695171456710815	0.000669194799423218
500	6.0577381197414395	0.0006054657783508301
600	5.480995622627258	0.0005478238430023194
700	4.959165106527329	0.0004956573410034179
800	4.487016309509277	0.0004484646072387696
900	4.059819022708893	0.0004057612533569335
1000	3.6732941031703947	0.0003671255598068237
1100	3.3235694950389862	0.00033216939830780037
1200	3.007142076722145	0.00030053715801239015
1300	2.720840783399582	0.0002719238243103028
1400	2.4617979851017	0.0002460357675552368
1500	2.2274181770391466	0.00022260871410369876
1600	2.015352946259499	0.0002014143161773682
1700	1.8234762948994636	0.00018223603868484502
1800	1.6498682332291603	0.00016488460969924925
1900	1.4927887097258568	0.00014918604564666748
2000	1.3506646561565399	0.00013498315238952643
2100	1.2220720893044472	0.00012213190364837646
2200	1.1057225974235534	0.00011050338172912595
2300	1.000450784832716	9.998252820968627e-05
2400	0.9052004952766896	9.046353340148927e-05
2500	0.8190185966351032	8.18502013683319e-05
2600	0.7410421741309166	7.405815410614014e-05
2700	0.6704897256531716	6.700745391845703e-05
2800	0.6066544973535538	6.062788867950441e-05
2900	0.5488968567390442	5.4855135917663574e-05
3000	0.49663785965430735	4.9633068323135375e-05
3100	0.44935429040396213	4.490739262104034e-05
3200	0.40657251535856725	4.063088059425354e-05
3300	0.36786384190654753	3.676406180858611e-05
3400	0.3328404774911404	3.32632635831833e-05
3500	0.3011518119004965	3.0096435666084288e-05
3600	0.2724803634529114	2.9999999999999997e-05
3700	0.24653850886923076	2.9999999999999997e-05
3800	0.22306647538012267	2.9999999999999997e-05
3900	0.20182916923576594	2.9999999999999997e-05
4000	0.18261377719414235	2.9999999999999997e-05
4100	0.1652277914457321	2.9999999999999997e-05
4200	0.14949704899048805	2.9999999999999997e-05
4300	0.13526393827581407	2.9999999999999997e-05
4400	0.12238597778010368	2.9999999999999997e-05
4500	0.11073405088141561	2.9999999999999997e-05
4600	0.10019144281125068	2.9999999999999997e-05
4700	0.09065257116252184	2.9999999999999997e-05
4800	0.08202185224086046	2.9999999999999997e-05
4900	0.0742128074875474	2.9999999999999997e-05
5000	0.06714723660972714	2.9999999999999997e-05
5100	0.060754387530967596	2.9999999999999997e-05
5200	0.054970171256169674	2.9999999999999997e-05
5300	0.04973665961766243	2.9999999999999997e-05
5400	0.04500140681706369	2.9999999999999997e-05
5500	0.04071695784141123	2.9999999999999997e-05
5600	0.03684042526368797	2.9999999999999997e-05
5700	0.03333296956479549	2.9999999999999997e-05
5800	0.03015944493279606	2.9999999999999997e-05
5900	0.027288064946711064	2.9999999999999997e-05
6000	0.0246900623966977	2.9999999999999997e-05
6100	0.02233940315207839	2.9999999999999997e-05
6200	0.020212539991766216	2.9999999999999997e-05
6300	0.018288166623301804	2.9999999999999997e-05
6400	0.016547008990466596	2.9999999999999997e-05
6500	0.014971618728537112	2.9999999999999997e-05
6600	0.013546223040152341	2.9999999999999997e-05
6700	0.012256529292806982	2.9999999999999997e-05
6800	0.011089629904676228	2.9999999999999997e-05
6900	0.010033821741189808	2.9999999999999997e-05
7000	0.009078533416435122	2.9999999999999997e-05
7100	0.008214197700027376	2.9999999999999997e-05
7200	0.007432152723545208	2.9999999999999997e-05
7300	0.006724561492336914	2.9999999999999997e-05
7400	0.006084337999628857	2.9999999999999997e-05
7500	0.005505068206416443	2.9999999999999997e-05
7600	0.004980949264984578	2.9999999999999997e-05
7700	0.004506730157379061	2.9999999999999997e-05
7800	0.00407765977072157	2.9999999999999997e-05
7900	0.003689439254997298	2.9999999999999997e-05
8000	0.0033381794052124024	2.9999999999999997e-05
8100	0.003020362684818916	2.9999999999999997e-05
8200	0.002732803333670832	2.9999999999999997e-05
8300	0.002472623089913279	2.9999999999999997e-05
8400	0.002237212994337082	2.9999999999999997e-05
8500	0.0020242145534045994	2.9999999999999997e-05
8600	0.0018314958906681276	2.9999999999999997e-05
8700	0.0016571251326561905	2.9999999999999997e-05
8800	0.0014993553734389134	2.9999999999999997e-05
8900	0.0013566068977001124	2.9999999999999997e-05
9000	0.0012274490067269654	2.9999999999999997e-05
9100	0.0011105878270119428	2.9999999999999997e-05
9200	0.001004852521982044	2.9999999999999997e-05
9300	0.0009091837985774037	2.9999999999999997e-05
9400	0.0008226233368141111	2.9999999999999997e-05
9500	0.0007443042281060479	2.9999999999999997e-05
9600	0.0006734415366726462	2.9999999999999997e-05
9700	0.0006093254028374795	2.9999999999999997e-05
9800	0.0005513136325126979	2.9999999999999997e-05
