MCS	NormalTCells	ActivatedTCells	TotalTCells
0	15	0	15
1	14	1	15
2	14	1	15
3	14	1	15
4	14	1	15
5	14	1	15
6	14	1	15
7	14	1	15
8	14	1	15
9	14	1	15
10	14	1	15
11	14	1	15
12	14	1	15
13	14	1	15
14	14	1	15
15	14	1	15
16	14	1	15
17	14	1	15
18	14	1	15
19	14	1	15
20	14	1	15
21	14	1	15
22	14	1	15
23	14	1	15
24	14	1	15
25	14	1	15
26	14	1	15
27	14	1	15
28	14	1	15
29	14	1	15
30	14	1	15
31	14	1	15
32	14	1	15
33	14	1	15
34	14	1	15
35	14	1	15
36	14	1	15
37	14	1	15
38	14	1	15
39	14	1	15
40	14	1	15
41	14	1	15
42	14	1	15
43	14	1	15
44	14	1	15
45	14	1	15
46	14	1	15
47	14	1	15
48	14	1	15
49	14	1	15
50	14	1	15
51	14	1	15
52	14	1	15
53	14	1	15
54	14	1	15
55	14	1	15
56	14	1	15
57	14	1	15
58	14	1	15
59	14	1	15
60	14	1	15
61	14	1	15
62	14	1	15
63	14	1	15
64	14	1	15
65	14	1	15
66	14	1	15
67	14	1	15
68	14	1	15
69	14	1	15
70	14	1	15
71	14	1	15
72	14	1	15
73	14	1	15
74	14	1	15
75	14	1	15
76	14	1	15
77	14	1	15
78	14	1	15
79	14	1	15
80	14	1	15
81	14	1	15
82	14	1	15
83	14	1	15
84	14	1	15
85	14	1	15
86	14	1	15
87	14	1	15
88	14	1	15
89	14	1	15
90	14	1	15
91	14	1	15
92	14	1	15
93	14	1	15
94	14	1	15
95	14	1	15
96	14	1	15
97	14	1	15
98	14	1	15
99	14	1	15
100	14	1	15
101	14	1	15
102	14	1	15
103	14	1	15
104	14	1	15
105	14	1	15
106	14	1	15
107	14	1	15
108	14	1	15
109	14	1	15
110	14	1	15
111	14	1	15
112	14	1	15
113	14	1	15
114	14	1	15
115	14	1	15
116	14	1	15
117	14	1	15
118	14	1	15
119	14	1	15
120	14	1	15
121	14	1	15
122	14	1	15
123	14	1	15
124	14	1	15
125	14	1	15
126	14	1	15
127	14	1	15
128	14	1	15
129	14	1	15
130	14	1	15
131	14	1	15
132	14	1	15
133	14	1	15
134	14	1	15
135	14	1	15
136	14	1	15
137	14	1	15
138	14	1	15
139	14	1	15
140	14	1	15
141	14	1	15
142	14	1	15
143	14	1	15
144	14	1	15
145	14	1	15
146	14	1	15
147	14	1	15
148	14	1	15
149	14	1	15
150	14	1	15
151	14	1	15
152	14	1	15
153	14	1	15
154	14	1	15
155	14	1	15
156	14	1	15
157	14	1	15
158	14	1	15
159	14	1	15
160	14	1	15
161	14	1	15
162	14	1	15
163	14	1	15
164	14	1	15
165	14	1	15
166	14	1	15
167	14	1	15
168	14	1	15
169	14	1	15
170	14	1	15
171	14	1	15
172	14	1	15
173	14	1	15
174	14	1	15
175	14	1	15
176	14	1	15
177	14	1	15
178	14	1	15
179	14	1	15
180	14	1	15
181	14	1	15
182	14	1	15
183	14	1	15
184	14	1	15
185	14	1	15
186	14	1	15
187	14	1	15
188	14	1	15
189	14	1	15
190	14	1	15
191	14	1	15
192	14	1	15
193	14	1	15
194	14	1	15
195	14	1	15
196	14	1	15
197	14	1	15
198	14	1	15
199	14	1	15
200	14	1	15
201	14	1	15
202	14	1	15
203	14	1	15
204	14	1	15
205	14	1	15
206	14	1	15
207	14	1	15
208	14	1	15
209	14	1	15
210	14	1	15
211	14	1	15
212	14	1	15
213	14	1	15
214	14	1	15
215	14	1	15
216	14	1	15
217	14	1	15
218	14	1	15
219	14	1	15
220	14	1	15
221	14	1	15
222	14	1	15
223	14	1	15
224	14	1	15
225	14	1	15
226	14	1	15
227	14	1	15
228	14	1	15
229	14	1	15
230	14	1	15
231	14	1	15
232	14	1	15
233	14	1	15
234	14	1	15
235	14	1	15
236	14	1	15
237	14	1	15
238	14	1	15
239	14	1	15
240	14	1	15
241	14	1	15
242	14	1	15
243	14	1	15
244	14	1	15
245	14	1	15
246	14	1	15
247	14	1	15
248	14	1	15
249	14	1	15
250	14	1	15
251	14	1	15
252	14	1	15
253	14	1	15
254	14	1	15
255	14	1	15
256	14	1	15
257	14	1	15
258	14	1	15
259	14	1	15
260	14	1	15
261	14	1	15
262	14	1	15
263	14	1	15
264	14	1	15
265	14	1	15
266	14	1	15
267	14	1	15
268	14	1	15
269	14	1	15
270	14	1	15
271	14	1	15
272	14	1	15
273	14	1	15
274	14	1	15
275	14	1	15
276	14	1	15
277	14	1	15
278	14	1	15
279	14	1	15
280	14	1	15
281	14	1	15
282	14	1	15
283	14	1	15
284	14	1	15
285	14	1	15
286	14	1	15
287	14	1	15
288	14	1	15
289	14	1	15
290	14	1	15
291	14	1	15
292	14	1	15
293	14	1	15
294	14	1	15
295	14	1	15
296	14	1	15
297	14	1	15
298	14	1	15
299	14	1	15
