wMCS 	 D_Dynabead 	 D_TCell 
0	0.0	0.0
1	0.000601633246412832	0.0003142373368958405
2	0.0004813246101778866	0.0004197543258013338
3	0.0005649346813362097	0.0006963700133920204
4	0.0006169484839446253	0.0007325265228493831
5	0.0007808702951522512	0.0007003362092319556
6	0.0008057600080823876	0.0006636114338244978
7	0.0008852919569107365	0.0005874262580277312
8	0.000898198103442264	0.0004972570251292977
9	0.0009553871379281581	0.00042174280748682595
10	0.001001624409068657	0.0003768453190805263
11	0.001095482579649575	0.0003478311105877404
12	0.0011554867438695346	0.00033039119772512086
13	0.0012281740610897236	0.0003283193784974201
14	0.0012663533537282294	0.0003214319303549834
15	0.0012849508548684295	0.00030592227604192627
16	0.0012703566493731232	0.000271366427523582
17	0.001234760938465463	0.00025781367757008974
18	0.0012319988990680498	0.00025227937728991285
19	0.001202736014087135	0.00023904277043980738
20	0.0011911071486757922	0.00022184565038508308
21	0.0011660193700723802	0.00020316127346807093
22	0.0011510361735588418	0.00018664405530260066
23	0.001132100040476441	0.00016829576991460836
24	0.0011406110040304625	0.00015575765768513627
25	0.001148267475548799	0.00014336289176046518
26	0.001155486463799714	0.00013231163843939998
27	0.0011543090410648367	0.00012072373556273315
28	0.001167434118440047	0.00011230158323556392
29	0.0011779266764248791	0.00010428301862315019
30	0.0011789792820050108	9.824597378879467e-05
31	0.001191380875250865	8.941614552036018e-05
32	0.0011902267687284654	8.121422161273535e-05
33	0.0011884882993072523	7.470141979300993e-05
34	0.0011908922697658265	6.66049902843683e-05
35	0.0011680677624192786	5.8964818810228143e-05
36	0.0011308471861051286	5.422055572069073e-05
37	0.0011061925147903074	4.932725678132669e-05
38	0.0011018666186754997	4.4674765136253495e-05
39	0.0011000895570807347	4.210694995635315e-05
40	0.0011029830122612318	4.0076995801401584e-05
41	0.00111038140392222	3.6951535573989935e-05
42	0.001108691282747555	3.395415842314343e-05
43	0.001112077060172123	3.122356794987134e-05
44	0.0011113912494903197	2.7657913648735555e-05
45	0.0011020065025402028	2.347307633138815e-05
46	0.0010849749585308739	1.9961847457336274e-05
47	0.001071004358019249	1.7001727508778282e-05
48	0.001064321412526342	1.5407307299830845e-05
49	0.0010635060463328148	1.3438864761576885e-05
50	0.001066682891495074	1.2266722499973937e-05
51	0.0010621017965341572	1.0245007100681975e-05
52	0.0010688740132464949	8.7260584584126e-06
53	0.001063676513153316	8.353234478850362e-06
54	0.001055467389088162	7.138446492007131e-06
55	0.0010524579473218717	6.0798245306020605e-06
56	0.0010423423419528856	4.838421494580505e-06
57	0.0010335053706616501	4.027676881935435e-06
58	0.0010299799222362141	3.053828578980734e-06
59	0.0010276743543907823	2.9926006797672534e-06
60	0.0010249079786322046	3.176297652568569e-06
61	0.0010266326014083432	4.375493390253136e-06
62	0.001019884089629889	5.432852378796375e-06
63	0.0010143967649135475	6.345131057589756e-06
64	0.0010056020449817251	6.963299964260323e-06
65	0.0009991398354794886	6.876111736430814e-06
66	0.0009962115178523965	6.663207079350445e-06
67	0.0009911725932308353	6.651767515126022e-06
68	0.0009815628895190752	6.312265352478205e-06
69	0.0009715189317651742	5.790027438272938e-06
70	0.0009591610449617891	5.6479079905688226e-06
71	0.0009485253737598967	6.2169708449091845e-06
72	0.0009425327557379042	6.388208511742087e-06
73	0.0009354477402225259	7.134956115550933e-06
74	0.0009231903673177655	7.598281657383743e-06
75	0.0009138005123492336	8.044062273422348e-06
76	0.0009051488122737552	8.828529773083928e-06
77	0.0008987911123406768	9.88721753696274e-06
78	0.0008916798852500005	1.030601305471192e-05
79	0.0008874764639140539	1.0067305440581077e-05
80	0.0008820587116752574	1.0096289593480299e-05
81	0.0008742296948446933	9.988450199225208e-06
82	0.0008652171795992464	1.010319975769104e-05
83	0.000858703003554193	1.0005565364072171e-05
84	0.0008547037597887314	9.733046403140929e-06
85	0.0008484309534582749	9.399891715358272e-06
86	0.0008437900888966129	9.517912145148347e-06
87	0.0008354306494639766	9.667403745657173e-06
88	0.0008270413245694719	9.75671737150824e-06
89	0.0008198883563743097	9.563229622634574e-06
90	0.000813268799801272	9.393313085379167e-06
91	0.0008065811029278519	9.046279695523498e-06
92	0.000799980544131077	8.783660565219662e-06
93	0.0007939856960295772	8.396731310084912e-06
94	0.0007878264533418946	8.004303331241425e-06
95	0.0007845408676358847	7.921663937356251e-06
96	0.000779818271944051	7.982282560746405e-06
97	0.0007754777041194206	8.257320906144955e-06
98	0.0007691908809234386	9.153713383422177e-06
99	0.000761773419908319	1.0031889302925136e-05
100	0.0007566808361503364	1.0729374422582897e-05
101	0.0007505356478398627	1.1353336938859742e-05
102	0.0007474528125307645	1.1838102890911956e-05
103	0.0007462660466040034	1.1962697306124768e-05
104	0.0007469617041208756	1.2215204613435527e-05
105	0.0007481465562684709	1.2462825315667569e-05
106	0.0007507658475549978	1.276471061013385e-05
107	0.0007522340565588762	1.3041403861954783e-05
108	0.0007529800714259771	1.325512612694119e-05
109	0.0007596587044925858	1.3561526502338746e-05
110	0.0007670981134216741	1.3909163488631731e-05
111	0.0007754076532882896	1.4075511974116015e-05
112	0.0007832903904579006	1.4296812799144404e-05
113	0.0007895970218069289	1.4532564548581944e-05
114	0.0007974515515361947	1.4539725772672981e-05
115	0.0008054076996872277	1.4540945264084114e-05
116	0.0008121837061286595	1.4589408208920214e-05
117	0.000818983163898004	1.4771526844740781e-05
118	0.0008237912479116832	1.5099557471839518e-05
119	0.0008284432236180045	1.5092794079207487e-05
120	0.0008328175324400229	1.5051125235160545e-05
121	0.0008381284538763375	1.4912639580949824e-05
122	0.0008433435228603624	1.5076558159819095e-05
123	0.0008513563342320067	1.5058700843007808e-05
124	0.0008563268540084365	1.5016526508872062e-05
125	0.000861590666770432	1.4740273938681363e-05
126	0.0008670928252791958	1.4301868265711911e-05
127	0.0008734003366525655	1.396135476570487e-05
128	0.0008802350164251247	1.3699369672040856e-05
129	0.0008875126361092486	1.3645705988847261e-05
