MCS 	 Avg Db vel 	 Avg TC vel 
0 	 0 	 0 
1 	 0.14912459052305957 	 0.11648479635634561 
2 	 0.10671139072055412 	 0.10786587980822777 
3 	 0.1121396918564443 	 0.11668822396580752 
4 	 0.10426148590938566 	 0.06921290316957869 
5 	 0.09118616988469143 	 0.07291996165248679 
6 	 0.06055640621926565 	 0.062387223430018235 
7 	 0.06107794571371619 	 0.0594602062667445 
8 	 0.07329161473529822 	 0.06062405163206511 
9 	 0.05747198084239125 	 0.04920895933102059 
10 	 0.05277181084755191 	 0.047700116974190125 
11 	 0.0468017391890436 	 0.05120011066501442 
12 	 0.04144416407834509 	 0.042141572085110435 
13 	 0.025928597868899273 	 0.03524588540152122 
14 	 0.036307660612208394 	 0.053321040718830405 
15 	 0.038177886585823835 	 0.05390091947655578 
16 	 0.017175240602965627 	 0.040732739278386575 
17 	 0.03060073710730084 	 0.04274062009783707 
18 	 0.02278980935317952 	 0.04672858056643439 
19 	 0.02400007703451512 	 0.050441147053083 
20 	 0.02824187454355428 	 0.03639631071298261 
21 	 0.026905804610911094 	 0.04941785662958861 
22 	 0.01760462367639827 	 0.03322987259672621 
23 	 0.031508342567892984 	 0.03474918006712443 
24 	 0.016131460877778867 	 0.031300432925443725 
25 	 0.01594224007711821 	 0.037880726627643295 
26 	 0.012516435564864953 	 0.031507815025011106 
27 	 0.012246161841297084 	 0.04380777243255602 
28 	 0.01511362494485012 	 0.026261929137684676 
29 	 0.016805051779018646 	 0.03033634077897807 
30 	 0.014501920385530232 	 0.025811253099254347 
31 	 0.007423684429989652 	 0.03338507049330404 
32 	 0.014752858051667296 	 0.04582525049352953 
33 	 0.008486452744952211 	 0.039979650460252855 
34 	 0.026934696786583293 	 0.0387954094541748 
35 	 0.007825574331348867 	 0.04475557834875169 
36 	 0.014427265429852001 	 0.03659093099135558 
37 	 0.01395526770738933 	 0.040042134453342336 
38 	 0.010700014556682005 	 0.041071331401787314 
39 	 0.006659160809677073 	 0.041014091796915855 
40 	 0.012661993008232559 	 0.03543356568958344 
41 	 0.023272439811353695 	 0.027067181676834362 
42 	 0.013493685918353185 	 0.03572039708841771 
43 	 0.007102734089724759 	 0.04047301190215208 
44 	 0.013480503262515584 	 0.02786022833263709 
45 	 0.021961509483218383 	 0.027085838439812302 
46 	 0.01914793486369477 	 0.03546002130242404 
47 	 0.003844800944171236 	 0.04785290919675635 
48 	 0.013403279826278284 	 0.03118882048051368 
49 	 0.011492097805932007 	 0.038226576951969675 
50 	 0.013100622056432198 	 0.0468256943194419 
51 	 0.016075728940572555 	 0.028674222992183154 
52 	 0.0017559183064631992 	 0.034616773323094006 
53 	 0.0040210240125366494 	 0.03661685188384788 
54 	 0.0020973830059019985 	 0.03202376191420242 
55 	 0.006974627302902408 	 0.04779351650848517 
56 	 0.01268115767688914 	 0.038200937447302 
57 	 0.010418489614054489 	 0.02562924559074833 
58 	 0.021571702661165076 	 0.04293721933408191 
59 	 0.00952980287498926 	 0.040108779224258206 
60 	 0.013078049985470604 	 0.04173093805691644 
61 	 0.012285946056252594 	 0.04050473244283814 
62 	 0.01527108506350177 	 0.03687329303448109 
63 	 0.009233099334302776 	 0.044127904418508106 
64 	 0.013720757849993862 	 0.03464823437317081 
65 	 0.008063086566765533 	 0.02902677247977654 
66 	 0.014261861930914846 	 0.03505779299112236 
67 	 0.008071524410083788 	 0.035859983059682535 
68 	 0.007301099360747058 	 0.04349276716746487 
69 	 0.025252258649370685 	 0.026248392115503286 
70 	 0.014911408573668126 	 0.037583337469703805 
71 	 0.01614223366545892 	 0.04138025924027595 
72 	 0.0038126847523411674 	 0.025098478648485523 
73 	 0.010649465781144592 	 0.04382324086906861 
74 	 0.012563720832011058 	 0.03631693105923119 
75 	 0.01090022174427268 	 0.03761691531704438 
76 	 0.00679884396649821 	 0.040127262260291625 
77 	 0.007523865817972532 	 0.042455270555762654 
78 	 0.009648133332999066 	 0.030708344675239297 
79 	 0.009137095731927553 	 0.02393070163217287 
80 	 0.007345476540558233 	 0.04103551008588015 
81 	 0.010068108068762812 	 0.03481980967424609 
82 	 0.00873699391435803 	 0.025601494967296648 
83 	 0.010454993790802225 	 0.03119338789876176 
84 	 0.005019200021321593 	 0.031192668707087867 
85 	 0.007373002136602924 	 0.03164314901270767 
86 	 0.011150978814633325 	 0.03181145984435408 
87 	 0.011224124322268806 	 0.03566407351561952 
88 	 0.008072643404207998 	 0.02050754993237606 
89 	 0.011260568745621884 	 0.03302079103302242 
90 	 0.006416994676909035 	 0.04209508877165192 
91 	 0.0058061260713008975 	 0.041424353861028766 
92 	 0.008012776718196007 	 0.035940287027272415 
93 	 0.011952893859021279 	 0.03810097821870311 
94 	 0.004448845626044681 	 0.036086414115251805 
95 	 0.01148597926038064 	 0.029193350967936363 
96 	 0.0019438879490095296 	 0.031286722872987255 
97 	 0.006123457845351496 	 0.03479701765930512 
98 	 0.0 	 0.03498085893106894 
99 	 0.010603174459251423 	 0.031508890614653506 
100 	 0.0025221047606453916 	 0.027654607450055563 
101 	 0.0023351272502856366 	 0.021336813141283054 
102 	 0.0037864120591679425 	 0.03356076299917205 
103 	 0.0037271552618026566 	 0.03496832965060907 
104 	 0.003440096566429367 	 0.040319983868474636 
105 	 0.0038399921432683034 	 0.02831561236357852 
106 	 0.007696120936126272 	 0.02827464275278138 
107 	 0.001967283456985182 	 0.02863389557894373 
108 	 0.001967283456985182 	 0.030858195059489113 
109 	 0.0019963404881048674 	 0.028144687134643836 
110 	 0.0 	 0.03352205501022807 
111 	 0.004627300899883992 	 0.035857172142601944 
112 	 0.0018540589273715075 	 0.041613910689050994 
113 	 0.0020265402543504676 	 0.029833762909342056 
114 	 0.0 	 0.03808759585761807 
115 	 0.0018540589273715075 	 0.03690512965520176 
116 	 0.006514472848344756 	 0.04074558721713746 
117 	 0.008889739166997824 	 0.040579383824943686 
118 	 0.014789893270270372 	 0.03080886595551825 
119 	 0.005699175044183683 	 0.03600035618824727 
120 	 0.006397522354341072 	 0.03578566864745198 
121 	 0.0 	 0.024386941264789058 
122 	 0.003910513952892433 	 0.03821455537317021 
123 	 0.006054944573803798 	 0.03748131400418995 
