MCS 	 D_Dynabead 	 D_TCell 
0	0.0	0.0
1	0.0006321462944077396	0.00015452701350682205
2	0.001081489221582551	0.0004419554055072157
3	0.0008744815618681988	0.0004375981606415793
4	0.0008372448561573575	0.0003933832126051051
5	0.0010475241743258335	0.0004065720757232578
6	0.0009736178206244209	0.00045664163634298545
7	0.0008683592489217284	0.00044251532640624154
8	0.0009543073016504946	0.0004274497603196222
9	0.0010586777902185304	0.0003889583779115335
10	0.0010971972093661315	0.00036580891465239724
11	0.0011222855614566561	0.00034060974783665617
12	0.0011356057995232512	0.0003153540733159249
13	0.0011286111054018653	0.0003109630521685391
14	0.0010896473786413063	0.0002902066716664537
15	0.0010994802417627508	0.0002663860394585514
16	0.001092936270778884	0.0002452492710923598
17	0.0010866720780451722	0.0002285405372167792
18	0.0010695836446759956	0.00021121020144112691
19	0.0010767060461360487	0.00019624873255505584
20	0.0010352308108221762	0.00018111944999209742
21	0.0010012299858477313	0.0001677446256995148
22	0.000954429091554654	0.00015825298162367135
23	0.0009435878610866143	0.00015304762876343334
24	0.0009117950566176938	0.00014378927700768466
25	0.0008774310062004685	0.00013324992325849697
26	0.0008642649309403433	0.0001271678123842793
27	0.0008426834837837053	0.0001247374150539228
28	0.000836642408627808	0.00012220919832119727
29	0.0008336398851890751	0.00012483108635930238
30	0.0008266411562684158	0.00012236924774620565
31	0.0008114529873615973	0.0001257260507764662
32	0.0007975816208388803	0.00012955444483395424
33	0.0007744435901585868	0.00013007518094540282
34	0.0007642854238332138	0.00013262802213259988
35	0.0007745844395545061	0.00013591286069972538
36	0.0007790734200431223	0.0001365912322541746
37	0.0007846859677241864	0.00013483314547751426
38	0.0007935287676080434	0.0001324816027212796
39	0.0007938866753371741	0.00012868524315191377
40	0.000811922213849463	0.00012519655876129466
41	0.0008362890656597185	0.00012204163129848985
42	0.0008510469277342666	0.0001190485035228229
43	0.0008673597479467904	0.00011660071805685695
44	0.0008716542704973313	0.00011369050945594315
45	0.0008750421751103093	0.00011065447227368911
46	0.0008758619516940732	0.0001075757327762257
47	0.0008861851537185782	0.00010474398432648477
48	0.0008902270607820687	0.00010333445716742463
49	0.0008832952516237193	0.00010138198054092727
50	0.0008751288450766721	9.842453986931939e-05
51	0.0008674501491928295	9.64993240273989e-05
52	0.0008655556429589209	9.324877384851683e-05
53	0.0008745491923113224	9.039165820437857e-05
54	0.000889344705522374	8.827438442656864e-05
55	0.0008963963202688047	8.645137223637913e-05
56	0.0009017312759047705	8.448913785527929e-05
57	0.0009136364238864037	8.235741945614839e-05
58	0.0009164727181624533	8.094292720731165e-05
59	0.0009129425728793045	7.958818951932733e-05
60	0.0009050513700951112	7.819148226598006e-05
61	0.0008951768739035415	7.742725195186757e-05
62	0.0008767984244210478	7.688932285123338e-05
63	0.0008637667468509799	7.632966738933116e-05
64	0.0008503260922534917	7.52414444858079e-05
65	0.0008315283331200373	7.426631042462312e-05
66	0.0008159075314165257	7.381041527179208e-05
67	0.0008024623573669753	7.261203988729024e-05
68	0.0007887140642543957	7.076662401205793e-05
69	0.0007769746996368073	7.05985310385106e-05
70	0.0007687552379395796	7.013235687263324e-05
71	0.0007599064307623119	6.927809351795104e-05
72	0.0007493329324935494	6.860233466239824e-05
73	0.0007385107570604094	6.791656558999685e-05
74	0.0007292661304362679	6.705618227990767e-05
75	0.0007225100922678641	6.632427648705593e-05
76	0.0007177469032384045	6.591038477885636e-05
77	0.0007153002589882737	6.554460114330539e-05
78	0.000709279424517962	6.502386952695423e-05
79	0.0007022596267033905	6.4289217625679e-05
80	0.0006965191534484359	6.321500693846014e-05
81	0.0006932816629147647	6.19524762584421e-05
82	0.0006916719798066081	6.078035405329182e-05
83	0.0006869499477977434	5.977740416361771e-05
84	0.0006859267653825481	5.904702448951967e-05
85	0.0006889640368379087	5.8664890007653004e-05
86	0.000690988299167442	5.842428245987862e-05
87	0.000693794085520473	5.816770119790646e-05
88	0.0006959468654307223	5.7882381889840185e-05
89	0.0006970164096113356	5.77126185825355e-05
90	0.0006968108330268721	5.713476841951176e-05
91	0.0007001161648733882	5.650583609332552e-05
92	0.0007011010334928682	5.61794114085041e-05
93	0.0007010815060029833	5.57214186740109e-05
94	0.0006993360731702604	5.545845439453813e-05
95	0.0007003636997206409	5.503401276141535e-05
96	0.0007037107792103219	5.4772470040419425e-05
97	0.0007070609720019492	5.4529240006870754e-05
98	0.0007123832379383212	5.423472050784376e-05
99	0.0007177449171214638	5.3570846137168934e-05
100	0.0007235343309687652	5.313087095066726e-05
101	0.0007307296257301586	5.249296524776083e-05
102	0.0007354198055056364	5.207596561291523e-05
103	0.0007397662740077053	5.1888132494374455e-05
104	0.000741789264545497	5.127406564879874e-05
105	0.0007444874680895655	5.098870865804704e-05
106	0.0007481770852953293	5.0724814868216277e-05
107	0.0007465117332050089	5.0258011714177966e-05
108	0.0007448245557761441	4.9647309346425924e-05
109	0.0007462268393484476	4.93542748642301e-05
110	0.0007482711218723029	4.907668833965055e-05
111	0.0007524792830368162	4.893521572617764e-05
112	0.0007552262463085239	4.88368865978103e-05
113	0.0007577528929660677	4.873675364884882e-05
114	0.0007592538044623937	4.862721182950063e-05
115	0.0007586514178443949	4.846985864600511e-05
116	0.0007599191648791777	4.8239191077811475e-05
117	0.0007602874980262846	4.814702601083259e-05
118	0.0007613909018061445	4.782398167968626e-05
119	0.0007619646080604794	4.7455471663255625e-05
120	0.0007604483543451935	4.7072373808357565e-05
121	0.000758193859493714	4.676241178426047e-05
122	0.0007563496978850689	4.6297160051181896e-05
123	0.0007531169006350049	4.6046095519321e-05
124	0.0007470309510195527	4.5651564026177895e-05
125	0.0007397179937896262	4.5051182333666035e-05
126	0.0007331655111729411	4.446655010129671e-05
127	0.0007277613632339223	4.368668279886448e-05
128	0.0007220614558134737	4.3070384134354126e-05
129	0.0007170729415669874	4.255806640720293e-05
130	0.0007135832920209701	4.218117680164155e-05
131	0.0007105041938452256	4.1868392537058874e-05
132	0.0007060116379819708	4.1502518321276406e-05
133	0.0007040372133612886	4.1095611183393756e-05
134	0.0007027987204756039	4.068315106794011e-05
135	0.0007022239795522922	4.015546109646918e-05
136	0.0007011319063571704	3.9539155638559416e-05
137	0.0006995405637196673	3.861752074431199e-05
138	0.0006973941956334859	3.804799592270543e-05
139	0.0006939916164990891	3.759451153963807e-05
140	0.0006896711563980573	3.705479028878474e-05
141	0.0006851647649197832	3.650137967200558e-05
142	0.0006803375873224579	3.617246462966883e-05
143	0.0006753521287877652	3.5874014224238136e-05
144	0.0006697086554142563	3.5551885882803955e-05
145	0.0006652940637312851	3.534303341364048e-05
146	0.0006620171774321153	3.510287307270467e-05
147	0.000659692177342133	3.4958142079301117e-05
148	0.0006568521690151594	3.488676031825264e-05
149	0.0006546313647177206	3.4615063443311924e-05
150	0.0006502947647939456	3.4269637004891015e-05
151	0.0006457404729013653	3.390470850444274e-05
152	0.0006416555433371081	3.362935237011944e-05
153	0.0006380887097412552	3.329495478045209e-05
154	0.0006343375358090268	3.303447808183903e-05
155	0.0006313589732167622	3.273475199814457e-05
156	0.0006272846689935137	3.242090394079768e-05
157	0.000622116816351791	3.215296523478834e-05
158	0.0006175552345744605	3.1963413650268246e-05
159	0.0006122644889955348	3.17065639748485e-05
160	0.0006072138785909593	3.1539114544966005e-05
161	0.0006022695938146281	3.1395674031047515e-05
162	0.0005961728147523391	3.121642294781773e-05
163	0.0005909156527458713	3.100571041408768e-05
164	0.0005871646515389805	3.064515224021253e-05
165	0.0005821312212455371	3.021479281349496e-05
166	0.0005760829891736231	2.9792316253173862e-05
167	0.000569499282922362	2.949137745783732e-05
168	0.0005629332501851951	2.9222742446633028e-05
169	0.000557825269479361	2.9025800253356824e-05
170	0.0005529634899941604	2.8962452731055663e-05
171	0.000547864728373784	2.8863794024135035e-05
172	0.0005430603640911653	2.8774188464754774e-05
173	0.0005395514163062221	2.858187193946767e-05
174	0.0005360130315370664	2.8541489029180317e-05
175	0.0005326012421418491	2.860714248114656e-05
176	0.0005295349169131155	2.867197943640202e-05
177	0.0005267371807794381	2.8700245059929922e-05
178	0.0005243668631430444	2.8727252912617255e-05
179	0.0005209758612361765	2.8798253498245383e-05
180	0.0005182215029606681	2.887641157862691e-05
181	0.0005154998788064386	2.8914784811054033e-05
182	0.0005122495037662237	2.8838385247721054e-05
183	0.0005095657130117314	2.8793203170190446e-05
184	0.0005070113456270974	2.8635053049807978e-05
185	0.0005044778262618306	2.8315718387256037e-05
186	0.0004998731506587137	2.8087760800874073e-05
187	0.0004968824352235493	2.7816338653536003e-05
188	0.0004943341099668156	2.7505311703434014e-05
189	0.000491630245220489	2.7194840066637897e-05
190	0.0004888920658062828	2.691313624512743e-05
191	0.0004857829464212384	2.667318044135794e-05
192	0.0004832195970410336	2.638303211484221e-05
193	0.00047950771180053513	2.6125776064511175e-05
194	0.0004758312924793527	2.5938372856086722e-05
195	0.00047231285977440094	2.5696225869090168e-05
196	0.00046969229297058373	2.5489313758076015e-05
197	0.0004675254822289523	2.5228850271347443e-05
198	0.00046482318538873746	2.4938998957500776e-05
199	0.00046173260021303055	2.464445829919122e-05
200	0.0004590292518374598	2.4447501369362454e-05
201	0.00045721986511282635	2.426487459958789e-05
202	0.0004549698156034816	2.395390286551043e-05
203	0.0004526417704509046	2.3610337297870135e-05
