# MSD of Single Random Dynabead (H) (Single Random Atom)
LagTime(MCS)	MSD
0	0.0
100	2.60282602510415
200	5.318973720713984
300	8.106425557169132
400	10.991749219188932
500	13.830783402780071
600	16.726200236706063
700	19.749494745745324
800	22.80509391031228
900	25.702817754703574
1000	28.610517131979577
1100	31.54594989446923
1200	34.539826454536524
1300	37.43081564770546
1400	40.250763192307204
1500	42.998652868147474
1600	45.81058453978039
1700	48.64823110908037
1800	51.64096992154373
1900	54.745129086775705
2000	57.82460841134889
2100	60.795824868022464
2200	63.74420637637377
2300	66.8190526314429
2400	70.06017401925055
2500	73.30336021538824
2600	76.62651667650789
2700	79.87734575767536
2800	83.12396685720887
2900	86.31384859699756
3000	89.49002297304105
3100	92.5613268148154
3200	95.52092827571323
3300	98.5646116732969
3400	101.65124031633604
3500	104.81213638524059
3600	108.0512977008475
3700	111.20320507779252
3800	114.31277643167414
3900	117.42527651553974
4000	120.64172290585702
4100	123.8487043461646
4200	127.15309456601972
4300	130.50433952524327
4400	133.8646028265939
4500	137.26671466318658
4600	140.5832759665791
4700	143.88976775918854
4800	147.1580438799574
4900	150.42613826325396
5000	153.63173659407767
5100	156.77042749233078
5200	159.85175670834724
5300	162.95919496024726
5400	166.1206364723621
5500	169.34508223325247
5600	172.67084549699211
5700	175.94080768991262
5800	179.16684627428185
5900	182.30785225948785
6000	185.42746561596869
6100	188.4929090385558
6200	191.54398592800135
6300	194.6339537811582
6400	197.6884618437034
6500	200.85391761601204
6600	203.9333002617932
6700	207.11129502241965
6800	210.13888745644363
6900	213.00884740718175
7000	215.97575366549427
7100	218.89464130677516
7200	221.9828538451693
7300	224.9870559553965
7400	227.9494267606642
7500	230.81682005844777
7600	233.72511942998972
7700	236.60528939106734
7800	239.5214931947994
7900	242.4434555468033
8000	245.2560687304358
8100	247.92159902560525
8200	250.50568245566683
8300	252.97591739048949
8400	255.3750269835582
8500	257.7661749292165
8600	260.19485574919963
8700	262.4633947638795
8800	264.8610045397072
8900	267.2417786340229
9000	269.7331292704912
9100	272.4348488136311
9200	275.1254644594155
9300	277.8981079435325
9400	280.80731295695296
9500	283.71333900943864
9600	286.73369285755325
9700	289.682404495019
9800	292.37763688433915
9900	295.0147119993344
10000	297.59841268206947
10100	300.1293186075054
10200	302.5371837482089
10300	304.89813613914885
10400	307.2256511306041
10500	309.52240301767597
10600	311.8130877171643
10700	314.14284370670794
10800	316.6955053702113
10900	319.31504090246744
11000	321.87171264895005
11100	324.5392968924134
11200	327.1746385683073
11300	329.83712325734086
11400	332.5790719218203
11500	335.300688007439
11600	337.98218462913064
11700	340.6955137340119
11800	343.5043658732902
11900	346.31895319599425
12000	348.97521039744606
12100	351.57147954730317
12200	354.0723046863568
12300	356.66533295606496
12400	359.4032599767088
12500	361.89676071336726
12600	364.54080714203883
12700	367.2586144541274
12800	370.03920626366744
12900	372.80314842337975
13000	375.5945760678733
13100	378.2566620724392
13200	380.91991623147624
13300	383.5248907589121
13400	386.17750768346014
13500	388.8688345543924
13600	391.47679746040376
13700	394.24136445857584
13800	397.0880803411128
13900	399.91717895586044
14000	402.7070697884192
14100	405.32365122967167
14200	407.9037725579692
14300	410.49761667085113
14400	413.09995980083477
14500	415.7153535167454
14600	418.2361662107869
14700	420.8593537666602
14800	423.39083281555213
14900	425.9075644235709
15000	428.50537626922596
15100	431.1479573554243
15200	433.91099334007595
15300	436.58275426051114
15400	439.2771435076138
15500	442.0214805775322
15600	444.93198356661014
15700	447.7465028837905
15800	450.52263845765265
15900	453.2213418124593
16000	455.9214863225352
16100	458.6288615214289
16200	461.45130437845364
16300	464.2348700381117
16400	466.94944364379626
16500	469.6431536125601
16600	472.30829413677566
16700	475.02910180337494
16800	477.6158774259966
16900	480.2928893652279
17000	482.8405877921032
