# MSD of Single Random Dynabead (H) (Single Random Atom)
LagTime(MCS)	MSD
0	0.0
100	5674.256088931463
200	8347.989759826916
300	9426.391058199632
400	11299.967850551184
500	12581.990155459614
600	13061.743860016519
700	14341.096327605512
800	16220.234140842658
900	16299.406786402222
1000	16976.626275914547
1100	18050.454929449916
1200	19326.1512265841
1300	20400.73293038999
1400	21482.290752467612
1500	22360.324356822763
1600	22836.841975605814
1700	23315.600992960914
1800	24200.905140654068
1900	25277.795984322205
2000	26555.506796966074
2100	27831.46026404976
2200	28509.615822188498
2300	28987.860155412403
2400	30474.527435247845
2500	31563.858977981727
2600	32043.743752029317
2700	32731.908859817806
2800	33216.78136243072
2900	33906.89419839298
3000	34995.13695044335
3100	35886.5926671162
3200	36773.089613283635
3300	37867.175023571996
3400	38557.76039933489
3500	39050.54438625072
3600	39946.95212335832
3700	40646.30862094776
3800	41341.39299626829
3900	42233.278299030586
4000	42729.50202285836
4100	43220.42050249115
4200	43306.82073891096
4300	43394.9286041701
4400	43888.62292740808
4500	44174.49031261692
4600	44665.57964144004
4700	45360.5869790148
4800	45844.95216399222
4900	46331.40320389607
5000	47022.88505614683
5100	47713.31582722842
5200	48205.4009555403
5300	48903.464395300805
5400	49394.14086785121
5500	49684.261297557154
5600	50581.49063867028
5700	51272.05215759686
5800	51963.340767273825
5900	52248.15811368282
6000	52530.64057737077
6100	52818.77866829364
6200	52896.21048166446
6300	53174.196862441604
6400	53456.13982067362
6500	53534.369510578515
6600	53611.989724573796
6700	54105.606617626036
6800	54600.17714087336
6900	54684.59727255133
7000	54772.36768034194
7100	55064.56006674419
7200	55155.44523910055
7300	55246.45983666301
7400	55745.5136022183
7500	55832.45735751925
7600	56131.090032978624
7700	56637.99379069227
7800	56940.121897131176
7900	56828.5244969058
8000	57123.61367487593
8100	57626.79957285692
8200	58130.517427499726
8300	58018.85244816227
8400	58312.45978547161
8500	59018.934364482004
8600	59513.58615621296
8700	60214.13125572371
8800	61123.92905506346
8900	61625.99304839768
9000	62119.39798925171
9100	62818.32359761861
9200	63313.06307247514
9300	64009.678450677835
9400	64908.12891830673
9500	65806.11268728491
9600	66297.72581199906
9700	66580.15993211689
9800	66855.50862246996
9900	67549.13670788804
10000	68456.83541459581
10100	69150.4208715535
10200	69638.92080751888
10300	70337.63266222563
10400	70827.37050033483
10500	71945.57741970383
10600	72439.1296041052
10700	72725.1542750462
10800	73215.43284751248
10900	73705.93070787366
11000	74194.31050357659
11100	75094.50215684093
11200	75794.89453919296
11300	76077.68095300818
11400	76777.92345231847
11500	77277.17071351531
11600	77772.17538355675
11700	78267.19279154457
11800	78764.21054080545
11900	79267.68953643955
12000	79563.52767988708
12100	80064.97914383642
12200	80570.03233690135
12300	80863.60682418803
12400	81167.74925063143
12500	81047.88579980406
12600	81133.2324120815
12700	81002.050268043
12800	81499.40928928298
12900	82000.85481054289
13000	82085.10230506363
13100	82593.4299720843
13200	83106.63958175544
13300	82991.4747317844
13400	83082.77978322754
13500	83387.15372416051
13600	83062.35128355064
13700	83786.29057503043
13800	83869.39115450115
13900	83957.13209594955
14000	84467.42120392463
14100	84552.49549097422
14200	84851.50445909979
14300	84943.73440212465
14400	85025.42063646868
14500	85110.58993134095
14600	85197.14129863316
14700	85281.83124862029
14800	85372.45608128334
14900	85461.87275770103
15000	85547.28740629784
15100	85639.18330279976
15200	85518.26232278065
15300	85400.18171383697
15400	85703.13528712571
15500	86003.9546249673
15600	86296.93072396744
15700	86593.82906660871
15800	86685.20149805903
15900	86977.82366049837
16000	87910.93679832644
16100	88418.11865840422
16200	88717.71292999922
16300	89021.46782245114
16400	89530.38733589475
16500	89828.01528743719
16600	90548.73090565117
16700	91061.31442040074
16800	91363.09898990352
16900	91671.13194471697
17000	91982.3542468177
17100	92295.80483984144
17200	92395.177992908
17300	92488.43307385186
17400	92581.58932939527
17500	92681.07260956796
17600	92779.28605497949
17700	93087.88852071983
17800	93602.59045323069
17900	93699.9664992489
18000	93805.86255440832
18100	93916.28802398901
18200	94026.55336271727
18300	94345.185330651
18400	94652.03021836549
18500	94967.28825662957
18600	95082.06741383002
18700	95616.62719531494
18800	95936.57076082035
18900	96039.5167038365
19000	96141.19756986087
19100	96240.76571407108
19200	96345.81177385355
19300	96239.80733287084
19400	96557.50276667965
19500	96877.29371504686
19600	96985.71758224722
19700	97212.1781114391
19800	97549.52115150233
19900	97672.87021132844
20000	97791.46913200885
20100	98128.82354972011
20200	98038.41162904497
20300	97945.51302768983
20400	98066.01700033023
20500	98406.77017790655
20600	98642.36950772765
20700	98759.25702775107
20800	98557.74465061916
20900	98680.75131565693
21000	98798.59616158876
21100	99136.18036474712
21200	99491.25688052084
21300	99838.215156208
21400	99961.48124272085
21500	99986.42682397494
21600	100009.42961922148
21700	100248.38510587308
21800	100053.9379381978
21900	99643.0752016583
22000	99450.38681687607
22100	99254.18690502361
