MCS 	 CellId 	 CellType 	 Coordx 	 Coordy 
0 	 1 	 2 	 81.9272727272727 	 80.38181818181825 
0 	 2 	 2 	 331.5593220338982 	 79.62711864406789 
0 	 3 	 2 	 132.82758620689646 	 411.2068965517241 
0 	 4 	 2 	 492.2931034482759 	 392.36206896551727 
0 	 5 	 2 	 99.5614035087719 	 123.45614035087722 
0 	 6 	 2 	 261.516129032258 	 208.258064516129 
0 	 7 	 2 	 326.76666666666654 	 115.60000000000014 
0 	 8 	 2 	 109.36363636363627 	 28.58181818181825 
0 	 9 	 2 	 469.93333333333334 	 431.6666666666667 
0 	 10 	 2 	 211.3225806451613 	 123.41935483870971 
0 	 11 	 2 	 291.3999999999999 	 93.56666666666676 
0 	 12 	 2 	 113.44067796610169 	 134.49152542372875 
0 	 13 	 2 	 347.57894736842104 	 321.63157894736827 
0 	 14 	 2 	 479.672131147541 	 132.45901639344254 
0 	 15 	 2 	 267.33333333333314 	 101.60784313725492 
0 	 16 	 2 	 415.51666666666665 	 391.3333333333333 
0 	 17 	 2 	 365.42622950819674 	 407.8196721311475 
0 	 18 	 2 	 186.33333333333343 	 388.5925925925926 
0 	 19 	 2 	 144.5294117647057 	 305.6078431372549 
0 	 20 	 2 	 430.96153846153845 	 360.5576923076923 
0 	 21 	 2 	 152.33333333333326 	 147.1176470588235 
0 	 22 	 2 	 283.42372881355925 	 140.5762711864406 
0 	 23 	 2 	 24.508474576271155 	 476.45762711864404 
0 	 24 	 2 	 63.508771929824526 	 303.56140350877195 
100 	 1 	 2 	 82.1960784313723 	 82.27450980392175 
100 	 2 	 2 	 329.8399999999997 	 80.5200000000016 
100 	 3 	 2 	 133.35999999999925 	 410.84 
100 	 4 	 2 	 494.2448979591837 	 394.9591836734694 
100 	 5 	 2 	 99.29411764705904 	 124.47058823529441 
100 	 6 	 2 	 262.61999999999966 	 208.97999999999956 
100 	 7 	 2 	 326.4599999999997 	 115.89999999999996 
100 	 8 	 2 	 108.45999999999975 	 28.779999999999454 
100 	 9 	 2 	 465.84313725490193 	 432.7450980392157 
100 	 10 	 2 	 211.68627450980392 	 122.0588235294113 
100 	 11 	 2 	 291.9599999999998 	 93.27999999999938 
100 	 12 	 2 	 112.85714285714258 	 137.28571428571428 
100 	 13 	 2 	 346.9 	 322.680000000001 
100 	 14 	 2 	 480.7647058823529 	 132.29411764705895 
100 	 15 	 2 	 264.1428571428568 	 100.06122448979593 
100 	 16 	 2 	 414.94 	 390.76 
100 	 17 	 2 	 369.58 	 406.36 
100 	 18 	 2 	 189.17647058823522 	 389.921568627451 
100 	 19 	 2 	 146.0599999999997 	 303.0 
100 	 20 	 2 	 430.9019607843137 	 359.8235294117647 
100 	 21 	 2 	 152.9999999999997 	 147.5400000000007 
100 	 22 	 2 	 283.34693877550967 	 141.69387755102042 
100 	 23 	 2 	 25.07843137254863 	 476.6470588235294 
100 	 24 	 2 	 66.63999999999986 	 302.42000000000024 
