MCS 	 CellCount 
4540 	 1878
4550 	 1880
4560 	 1883
4570 	 1887
4580 	 1892
4590 	 1899
4600 	 1907
4610 	 1915
4620 	 1923
4630 	 1930
4640 	 1937
4650 	 1942
4660 	 1948
4670 	 1959
4680 	 1972
4690 	 1987
4700 	 2003
4710 	 2019
4720 	 2032
4730 	 2047
4740 	 2066
4750 	 2082
4760 	 2100
4770 	 2119
4780 	 2139
4790 	 2161
4800 	 2184
4810 	 2203
4820 	 2224
4830 	 2241
4840 	 2255
4850 	 2267
4860 	 2285
4870 	 2304
4880 	 2326
4890 	 2353
4900 	 2384
4910 	 2423
4920 	 2461
4930 	 2505
4940 	 2557
4950 	 2616
4960 	 2666
4970 	 2725
4980 	 2791
4990 	 2866
5000 	 2931
5010 	 3009
5020 	 3074
5030 	 3135
5040 	 3183
5050 	 3241
5060 	 3300
5070 	 3372
5080 	 3415
5090 	 3435
5100 	 3443
5110 	 3452
5120 	 3459
5130 	 3461
5140 	 3467
5150 	 3467
5160 	 3468
5170 	 3470
5180 	 3472
5190 	 3475
5200 	 3476
5210 	 3477
5220 	 3479
5230 	 3479
5240 	 3480
5250 	 3480
5260 	 3480
5270 	 3480
5280 	 3481
5290 	 3483
5300 	 3483
5310 	 3483
5320 	 3483
5330 	 3483
5340 	 3483
5350 	 3483
5360 	 3483
5370 	 3483
5380 	 3484
5390 	 3486
5400 	 3486
5410 	 3486
5420 	 3486
5430 	 3487
5440 	 3489
5450 	 3489
5460 	 3488
5470 	 3487
5480 	 3487
5490 	 3487
5500 	 3487
5510 	 3485
5520 	 3485
5530 	 3484
5540 	 3485
5550 	 3485
5560 	 3484
5570 	 3484
5580 	 3483
5590 	 3482
5600 	 3484
5610 	 3484
5620 	 3480
5630 	 3477
5640 	 3474
5650 	 3474
5660 	 3469
5670 	 3470
5680 	 3469
5690 	 3465
5700 	 3465
5710 	 3464
5720 	 3466
5730 	 3472
5740 	 3478
5750 	 3484
5760 	 3488
5770 	 3495
5780 	 3502
5790 	 3500
5800 	 3500
5810 	 3501
5820 	 3494
5830 	 3492
5840 	 3490
5850 	 3493
5860 	 3493
5870 	 3498
5880 	 3501
5890 	 3496
5900 	 3488
5910 	 3480
5920 	 3477
5930 	 3463
5940 	 3447
5950 	 3432
5960 	 3415
5970 	 3385
5980 	 3365
5990 	 3342
6000 	 3328
6010 	 3305
6020 	 3272
6030 	 3251
6040 	 3240
6050 	 3224
6060 	 3211
6070 	 3204
6080 	 3196
6090 	 3189
6100 	 3184
6110 	 3181
6120 	 3174
6130 	 3170
6140 	 3166
6150 	 3159
6160 	 3155
6170 	 3143
6180 	 3138
6190 	 3126
6200 	 3116
6210 	 3107
6220 	 3100
6230 	 3097
6240 	 3088
6250 	 3072
