MCS 	 ContactEnergy 
353 	 17954.0
354 	 18194.0
355 	 17982.0
356 	 17916.0
357 	 17862.0
358 	 17798.0
359 	 17756.0
360 	 17596.0
361 	 17614.0
362 	 17578.0
363 	 17716.0
364 	 17730.0
365 	 17698.0
366 	 17694.0
367 	 17722.0
368 	 17842.0
369 	 17808.0
370 	 17774.0
371 	 17914.0
372 	 17942.0
373 	 17842.0
374 	 17722.0
375 	 17880.0
376 	 17738.0
377 	 17766.0
378 	 17802.0
379 	 17984.0
380 	 18004.0
381 	 17856.0
382 	 17852.0
383 	 17788.0
384 	 17814.0
385 	 17710.0
386 	 17910.0
387 	 17908.0
388 	 17828.0
389 	 17830.0
390 	 17720.0
391 	 17862.0
392 	 17816.0
393 	 17700.0
394 	 17684.0
395 	 17688.0
396 	 17798.0
397 	 17762.0
398 	 17896.0
399 	 17766.0
400 	 17992.0
401 	 17840.0
402 	 18020.0
403 	 18022.0
404 	 17958.0
405 	 17826.0
406 	 17686.0
407 	 17864.0
408 	 17836.0
409 	 17832.0
410 	 17852.0
411 	 17896.0
412 	 17702.0
413 	 17792.0
414 	 17738.0
415 	 17934.0
416 	 17876.0
417 	 17898.0
418 	 17864.0
419 	 18016.0
420 	 18024.0
421 	 17936.0
422 	 17766.0
423 	 17868.0
424 	 17940.0
425 	 18026.0
426 	 17938.0
427 	 17988.0
428 	 17968.0
429 	 18008.0
430 	 17972.0
431 	 17800.0
432 	 17862.0
433 	 17794.0
434 	 17862.0
435 	 17862.0
436 	 17788.0
437 	 17852.0
438 	 17800.0
439 	 17852.0
440 	 17900.0
441 	 18044.0
442 	 17978.0
443 	 17926.0
444 	 17878.0
445 	 17776.0
446 	 17876.0
447 	 17828.0
448 	 17744.0
449 	 17758.0
450 	 17698.0
451 	 17802.0
452 	 17640.0
453 	 17728.0
454 	 17750.0
455 	 17624.0
456 	 17676.0
457 	 17656.0
458 	 17702.0
459 	 17842.0
460 	 17760.0
461 	 17618.0
462 	 17598.0
463 	 17726.0
464 	 17670.0
465 	 17646.0
466 	 17330.0
467 	 17630.0
468 	 17752.0
469 	 17748.0
470 	 17632.0
471 	 17672.0
472 	 17544.0
473 	 17648.0
474 	 17700.0
475 	 17852.0
476 	 17728.0
477 	 17708.0
478 	 17574.0
479 	 17650.0
480 	 17650.0
481 	 17854.0
482 	 17838.0
483 	 17654.0
484 	 17708.0
485 	 17694.0
486 	 17686.0
487 	 17958.0
488 	 17800.0
489 	 17816.0
490 	 17918.0
491 	 17954.0
492 	 17900.0
493 	 17862.0
494 	 17768.0
495 	 17738.0
496 	 17800.0
497 	 17900.0
498 	 17770.0
499 	 17814.0
500 	 17824.0
501 	 18124.0
502 	 18092.0
503 	 18048.0
504 	 17984.0
505 	 17820.0
506 	 17792.0
507 	 17814.0
508 	 17954.0
509 	 17804.0
510 	 18052.0
511 	 18006.0
512 	 17940.0
513 	 17824.0
514 	 17734.0
515 	 17734.0
516 	 17672.0
517 	 17550.0
518 	 17574.0
519 	 17522.0
520 	 17618.0
521 	 17738.0
522 	 17822.0
523 	 17814.0
524 	 17624.0
525 	 17800.0
526 	 17754.0
527 	 17676.0
528 	 17798.0
529 	 17824.0
530 	 17978.0
531 	 17868.0
532 	 17774.0
533 	 17826.0
534 	 17994.0
535 	 17930.0
536 	 17892.0
537 	 17836.0
538 	 17836.0
539 	 17830.0
540 	 17724.0
541 	 17738.0
542 	 17912.0
543 	 17862.0
544 	 17910.0
545 	 17804.0
546 	 17916.0
547 	 17750.0
548 	 17792.0
549 	 17744.0
550 	 17788.0
551 	 17650.0
552 	 17742.0
553 	 17708.0
554 	 17784.0
555 	 17566.0
556 	 17610.0
557 	 17702.0
558 	 17622.0
559 	 17642.0
560 	 17670.0
561 	 17736.0
562 	 17836.0
563 	 17732.0
564 	 17892.0
565 	 17884.0
566 	 17794.0
567 	 17646.0
568 	 17682.0
569 	 17712.0
570 	 17712.0
571 	 17682.0
572 	 17734.0
573 	 17520.0
574 	 17462.0
575 	 17578.0
576 	 17470.0
577 	 17586.0
578 	 17498.0
579 	 17578.0
580 	 17318.0
581 	 17380.0
582 	 17376.0
583 	 17352.0
584 	 17528.0
585 	 17436.0
586 	 17496.0
587 	 17704.0
588 	 17772.0
589 	 17842.0
590 	 17792.0
591 	 17694.0
592 	 17570.0
593 	 17626.0
594 	 17622.0
595 	 17674.0
596 	 17658.0
597 	 17612.0
598 	 17646.0
599 	 17690.0
600 	 17820.0
601 	 17786.0
602 	 17772.0
603 	 17742.0
604 	 17668.0
605 	 17796.0
606 	 17720.0
607 	 17616.0
608 	 17768.0
609 	 17598.0
610 	 17540.0
611 	 17736.0
612 	 17694.0
613 	 17938.0
614 	 17672.0
615 	 17696.0
616 	 17750.0
617 	 17666.0
618 	 17856.0
619 	 17770.0
620 	 17774.0
621 	 17766.0
622 	 17650.0
623 	 17592.0
624 	 17572.0
625 	 17576.0
626 	 17654.0
627 	 17630.0
628 	 17770.0
629 	 17724.0
630 	 17688.0
631 	 17702.0
632 	 17848.0
633 	 17974.0
634 	 17962.0
635 	 17872.0
636 	 17910.0
637 	 17626.0
638 	 17636.0
639 	 17506.0
640 	 17466.0
641 	 17408.0
642 	 17534.0
643 	 17548.0
644 	 17628.0
645 	 17674.0
646 	 17634.0
647 	 17540.0
648 	 17594.0
649 	 17816.0
650 	 17708.0
651 	 17568.0
652 	 17742.0
653 	 17650.0
654 	 17838.0
